wn spectra line corrected
3.850541000000000167e+03 2.439188999999999941e-01 2.072592356013114034e-01 -9.658886136270593281e-02
3.849576000000000022e+03 2.440594000000000097e-01 2.071921977633901790e-01 -9.637788156792999328e-02
3.848612000000000080e+03 2.441108999999999918e-01 2.071252293947310197e-01 -9.627964065846099373e-02
3.847648000000000138e+03 2.440734999999999988e-01 2.070582610260719159e-01 -9.629397777464972219e-02
3.846684000000000196e+03 2.439589000000000063e-01 2.069912926574128120e-01 -9.640607257743324943e-02
3.845719000000000051e+03 2.437831000000000026e-01 2.069242548194915876e-01 -9.659562358443536667e-02
3.844755000000000109e+03 2.435655999999999932e-01 2.068572864508324283e-01 -9.683799890223519780e-02
3.843791000000000167e+03 2.433281999999999945e-01 2.067903180821733244e-01 -9.710555024609063279e-02
3.842826000000000022e+03 2.430943000000000132e-01 2.067232802442521000e-01 -9.736860248865901457e-02
3.841862000000000080e+03 2.428883000000000014e-01 2.066563118755929962e-01 -9.759631712221790434e-02
3.840898000000000138e+03 2.427313000000000109e-01 2.065893435069338924e-01 -9.776193245179479185e-02
3.839932999999999993e+03 2.426371999999999973e-01 2.065223056690126124e-01 -9.784780686150501561e-02
3.838969000000000051e+03 2.426068000000000113e-01 2.064553373003535086e-01 -9.785299605524726274e-02
3.838005000000000109e+03 2.426253999999999911e-01 2.063883689316944048e-01 -9.779608594500754926e-02
3.837039999999999964e+03 2.426673000000000024e-01 2.063213310937731804e-01 -9.770959596531596236e-02
3.836076000000000022e+03 2.427037999999999973e-01 2.062543627251140765e-01 -9.762994953600634407e-02
3.835112000000000080e+03 2.427130000000000121e-01 2.061873943564549172e-01 -9.758485268053551653e-02
3.834146999999999935e+03 2.426858000000000071e-01 2.061203565185336928e-01 -9.758579758852077568e-02
3.833182999999999993e+03 2.426243999999999901e-01 2.060533881498745890e-01 -9.763006697868735484e-02
3.832219000000000051e+03 2.425377999999999978e-01 2.059864197812154296e-01 -9.770622588183533463e-02
3.831253999999999905e+03 2.424359000000000097e-01 2.059193819432942052e-01 -9.780169917311723471e-02
3.830289999999999964e+03 2.423250000000000126e-01 2.058524135746351014e-01 -9.790857631347379963e-02
3.829326000000000022e+03 2.422071000000000085e-01 2.057854452059759975e-01 -9.802428910604724099e-02
3.828360999999999876e+03 2.420806000000000069e-01 2.057184073680547731e-01 -9.815082932874075183e-02
3.827396999999999935e+03 2.419439999999999924e-01 2.056514389993956138e-01 -9.829016686290294180e-02
3.826432999999999993e+03 2.417981999999999909e-01 2.055844706307365100e-01 -9.844112677970391634e-02
3.825467999999999847e+03 2.416485999999999912e-01 2.055174327928152855e-01 -9.859683389033943590e-02
3.824503999999999905e+03 2.415045000000000108e-01 2.054504644241561817e-01 -9.874557795754233813e-02
3.823539999999999964e+03 2.413772999999999891e-01 2.053834960554970779e-01 -9.887288365101298826e-02
3.822574999999999818e+03 2.412770999999999944e-01 2.053164582175757980e-01 -9.896592221522571009e-02
3.821610999999999876e+03 2.412111999999999867e-01 2.052494898489166941e-01 -9.901551699857219502e-02
3.820646999999999935e+03 2.411813999999999902e-01 2.051825214802575903e-01 -9.901935285177536350e-02
3.819681999999999789e+03 2.411854999999999971e-01 2.051154836423363659e-01 -9.898018127857755033e-02
3.818717999999999847e+03 2.412169999999999870e-01 2.050485152736772620e-01 -9.890630622165660912e-02
